Nazwisko	Imie	Osiagniecia	Zachowanie	JP	Mat	Biol	Geog	GHP	GHH	GMM	GMP	GJP	osiagniecia	zachowanie	jp	mat	biol	geo	ghp	ghh	gmm	gmp	gjp	srednia	ile pkt
Swistek	Damian	0	4	4	5	6	6	62	13	26	67	62	0	0	6	8	10	10	6,2	1,3	2,6	6,7	6,2	5,25	57
Kowalik	Mateusz	7	4	4	2	5	6	90	8	21	52	33	7	0	6	0	8	10	9	0,8	2,1	5,2	3,3	4,25	51,4
Hintzke	Nikola	7	4	4	6	6	5	96	99	16	85	65	7	0	6	10	10	8	9,6	9,9	1,6	8,5	6,5	5,25	77,1
Grzelecki	Oliwier	8	6	4	4	3	5	17	100	100	100	31	8	2	6	6	4	8	1,7	10	10	10	3,1	4	68,8
Hinz	Nikola	5	4	2	4	5	4	20	28	58	86	48	5	0	0	6	8	6	2	2,8	5,8	8,6	4,8	3,75	49
Wasiluk	Bartlomiej	7	3	2	2	2	3	77	10	11	72	78	7	0	0	0	0	4	7,7	1	1,1	7,2	7,8	2,25	35,8
Wasilewski	Bartlomiej	8	6	6	5	5	2	75	25	5	3	58	8	2	10	8	8	0	7,5	2,5	0,5	0,3	5,8	4,5	52,6
Silakowski	Henryk	6	6	2	5	5	3	12	17	14	4	3	6	2	0	8	8	4	1,2	1,7	1,4	0,4	0,3	3,75	33
Kaftan	Monika	1	6	6	2	3	6	1	3	69	89	10	1	2	10	0	4	10	0,1	0,3	6,9	8,9	1	4,25	44,2
Pettka	Jan	0	5	3	6	6	4	28	53	38	63	70	0	0	4	10	10	6	2,8	5,3	3,8	6,3	7	4,75	55,2
Zygmunt	Adam	4	3	3	6	6	2	77	8	71	88	41	4	0	4	10	10	0	7,7	0,8	7,1	8,8	4,1	4,25	56,5
Lukasik	Magdalena	4	6	5	6	3	6	83	27	79	20	43	4	2	8	10	4	10	8,3	2,7	7,9	2	4,3	5	63,2
Hanczarek	Olivier	1	3	6	3	3	2	16	43	92	54	27	1	0	10	4	4	0	1,6	4,3	9,2	5,4	2,7	3,5	42,2
Samulczyk	Julia	6	6	5	3	2	6	11	36	4	41	62	6	2	8	4	0	10	1,1	3,6	0,4	4,1	6,2	4	45,4
Rutkiewicz	Julia	5	2	4	2	3	5	80	75	60	54	69	5	0	6	0	4	8	8	7,5	6	5,4	6,9	3,5	56,8
Bialaszewski	Piotr	8	6	4	3	4	5	22	46	36	35	91	8	2	6	4	6	8	2,2	4,6	3,6	3,5	9,1	4	57
Berezniewicz	Wiktor	2	5	3	5	6	3	47	30	2	45	76	2	0	4	8	10	4	4,7	3	0,2	4,5	7,6	4,25	48
Sobol	Filip	8	4	3	4	6	2	23	49	16	3	81	8	0	4	6	10	0	2,3	4,9	1,6	0,3	8,1	3,75	45,2
Kowalczyk	Mateusz	1	6	6	6	3	2	14	20	14	64	55	1	2	10	10	4	0	1,4	2	1,4	6,4	5,5	4,25	43,7
